user,title,rating,movie_id,date,minute,mean_rating,genre,country
144,Fantastic Mr. Fox,4.5,30172,2009.0,87.0,4.27,"['Family', 'Adventure', 'Comedy', 'Animation']",['USA']
428,Fire of Love,3.5,31230,2022.0,93.0,4.07,['Documentary'],"['Canada', 'USA']"
428,PVT Chat,2.0,62682,2020.0,86.0,3.14,['Drama'],['USA']
428,Fantastic Mr. Fox,5.0,30172,2009.0,87.0,4.27,"['Family', 'Adventure', 'Comedy', 'Animation']",['USA']
428,Elephant,4.0,28217,2003.0,81.0,3.57,"['Crime', 'Drama']",['USA']
428,Spy Kids,2.0,76835,2001.0,88.0,2.91,"['Family', 'Adventure', 'Comedy', 'Action']",['USA']
428,Raising Arizona,3.5,67528,1987.0,94.0,3.86,"['Comedy', 'Crime']",['USA']
513,Fantastic Beasts and Where to Find Them,3.0,30157,2016.0,132.0,3.12,"['Adventure', 'Fantasy']","['UK', 'USA']"
513,Two Night Stand,2.5,101783,2014.0,86.0,2.76,"['Comedy', 'Romance']",['USA']
513,Filth,3.5,31023,2013.0,97.0,3.43,"['Comedy', 'Drama', 'Crime']","['Belgium', 'Germany', 'Sweden', 'UK', 'USA']"
513,National Theatre Live: Frankenstein,4.0,58259,2011.0,130.0,4.01,"['Drama', 'Science Fiction', 'Horror']",['UK']
513,Hot Tub Time Machine,0.0,39370,2010.0,101.0,2.77,"['Comedy', 'Adventure', 'Science Fiction']",['USA']
513,Fantastic Mr. Fox,5.0,30172,2009.0,87.0,4.27,"['Family', 'Adventure', 'Comedy', 'Animation']",['USA']
513,Elephant,1.5,28217,2003.0,81.0,3.57,"['Crime', 'Drama']",['USA']
513,Raising Arizona,3.5,67528,1987.0,94.0,3.86,"['Comedy', 'Crime']",['USA']
513,Phantom of the Paradise,5.0,64334,1974.0,92.0,4.05,"['Music', 'Comedy', 'Horror']",['USA']
133,Fire of Love,3.5,31230,2022.0,93.0,4.07,['Documentary'],"['Canada', 'USA']"
133,PVT Chat,3.0,62682,2020.0,86.0,3.14,['Drama'],['USA']
133,Fantastic Beasts and Where to Find Them,2.5,30157,2016.0,132.0,3.12,"['Adventure', 'Fantasy']","['UK', 'USA']"
133,Fantastic Mr. Fox,4.5,30172,2009.0,87.0,4.27,"['Family', 'Adventure', 'Comedy', 'Animation']",['USA']
195,Fire of Love,3.5,31230,2022.0,93.0,4.07,['Documentary'],"['Canada', 'USA']"
195,Fantastic Beasts and Where to Find Them,2.0,30157,2016.0,132.0,3.12,"['Adventure', 'Fantasy']","['UK', 'USA']"
195,Filth,3.5,31023,2013.0,97.0,3.43,"['Comedy', 'Drama', 'Crime']","['Belgium', 'Germany', 'Sweden', 'UK', 'USA']"
195,Fantastic Mr. Fox,4.0,30172,2009.0,87.0,4.27,"['Family', 'Adventure', 'Comedy', 'Animation']",['USA']
195,Scary Movie 3,2.0,71751,2003.0,84.0,2.61,['Comedy'],['USA']
195,Elephant,3.0,28217,2003.0,81.0,3.57,"['Crime', 'Drama']",['USA']
195,Spy Kids,3.0,76835,2001.0,88.0,2.91,"['Family', 'Adventure', 'Comedy', 'Action']",['USA']
195,Raising Arizona,4.5,67528,1987.0,94.0,3.86,"['Comedy', 'Crime']",['USA']
195,Paper Moon,4.5,63048,1973.0,102.0,4.32,"['Drama', 'Crime', 'Comedy']",['USA']
410,PVT Chat,3.0,62682,2020.0,86.0,3.14,['Drama'],['USA']
410,Sincerely Louis C.K.,0.0,74388,2020.0,60.0,3.8,['Comedy'],['USA']
410,Fantastic Beasts and Where to Find Them,1.0,30157,2016.0,132.0,3.12,"['Adventure', 'Fantasy']","['UK', 'USA']"
410,Filth,2.0,31023,2013.0,97.0,3.43,"['Comedy', 'Drama', 'Crime']","['Belgium', 'Germany', 'Sweden', 'UK', 'USA']"
410,The Mechanic,0.0,91066,2011.0,93.0,2.85,"['Action', 'Thriller', 'Crime']",['USA']
410,Hot Tub Time Machine,2.0,39370,2010.0,101.0,2.77,"['Comedy', 'Adventure', 'Science Fiction']",['USA']
410,Fantastic Mr. Fox,4.0,30172,2009.0,87.0,4.27,"['Family', 'Adventure', 'Comedy', 'Animation']",['USA']
410,Haze,3.0,37265,2005.0,49.0,3.51,"['Mystery', 'Horror']","['South Korea', 'Japan']"
410,Scary Movie 3,0.0,71751,2003.0,84.0,2.61,['Comedy'],['USA']
410,Spy Kids,3.0,76835,2001.0,88.0,2.91,"['Family', 'Adventure', 'Comedy', 'Action']",['USA']
410,Elephant,4.0,28217,2003.0,81.0,3.57,"['Crime', 'Drama']",['USA']
410,Lethal Weapon,4.0,49036,1987.0,110.0,3.72,"['Thriller', 'Comedy', 'Adventure', 'Crime', 'Action']",['USA']
410,Raising Arizona,4.0,67528,1987.0,94.0,3.86,"['Comedy', 'Crime']",['USA']
410,Blood Beat,4.0,14091,1983.0,86.0,2.78,['Horror'],['USA']
410,A Boy and His Dog,3.0,2475,1975.0,90.0,3.22,"['Drama', 'Science Fiction', 'Comedy']",['USA']
410,Phantom of the Paradise,5.0,64334,1974.0,92.0,4.05,"['Music', 'Comedy', 'Horror']",['USA']
410,Paper Moon,4.0,63048,1973.0,102.0,4.32,"['Drama', 'Crime', 'Comedy']",['USA']
410,Destroy All Monsters,4.0,24598,1968.0,89.0,3.3,"['Science Fiction', 'Horror', 'Action']",['Japan']
410,Eye of the Devil,4.0,29686,1966.0,96.0,3.28,"['Mystery', 'Thriller', 'Horror']",['UK']
410,Taste of Fear,4.0,80012,1961.0,82.0,3.75,"['Thriller', 'Horror', 'Mystery']",['UK']
544,Dave Chappelle: Sticks & Stones,0.5,23021,2019.0,65.0,3.68,['Comedy'],['USA']
544,Fantastic Beasts and Where to Find Them,1.0,30157,2016.0,132.0,3.12,"['Adventure', 'Fantasy']","['UK', 'USA']"
544,Fantastic Mr. Fox,4.0,30172,2009.0,87.0,4.27,"['Family', 'Adventure', 'Comedy', 'Animation']",['USA']
544,Elephant,1.5,28217,2003.0,81.0,3.57,"['Crime', 'Drama']",['USA']
272,Fire of Love,4.0,31230,2022.0,93.0,4.07,['Documentary'],"['Canada', 'USA']"
272,Dave Chappelle: Sticks & Stones,1.0,23021,2019.0,65.0,3.68,['Comedy'],['USA']
272,Before We Vanish,3.5,12027,2017.0,129.0,3.42,"['Science Fiction', 'Drama', 'Thriller']","['Japan', 'UK']"
272,The Dance of Reality,4.0,84362,2013.0,130.0,3.82,"['Fantasy', 'Drama']","['Chile', 'France']"
272,Hot Tub Time Machine,2.5,39370,2010.0,101.0,2.77,"['Comedy', 'Adventure', 'Science Fiction']",['USA']
272,Fantastic Mr. Fox,4.0,30172,2009.0,87.0,4.27,"['Family', 'Adventure', 'Comedy', 'Animation']",['USA']
272,Elephant,5.0,28217,2003.0,81.0,3.57,"['Crime', 'Drama']",['USA']
272,Spy Kids,2.5,76835,2001.0,88.0,2.91,"['Family', 'Adventure', 'Comedy', 'Action']",['USA']
272,Deconstructing Harry,2.5,24016,1997.0,96.0,3.69,"['Comedy', 'Drama']",['USA']
272,Congo,2.5,20730,1995.0,109.0,2.58,"['Science Fiction', 'Adventure', 'Action']",['USA']
272,Lethal Weapon,4.0,49036,1987.0,110.0,3.72,"['Thriller', 'Comedy', 'Adventure', 'Crime', 'Action']",['USA']
272,Raising Arizona,4.5,67528,1987.0,94.0,3.86,"['Comedy', 'Crime']",['USA']
272,Blood Beat,5.0,14091,1983.0,86.0,2.78,['Horror'],['USA']
272,Phantom of the Paradise,4.5,64334,1974.0,92.0,4.05,"['Music', 'Comedy', 'Horror']",['USA']
272,Paper Moon,4.5,63048,1973.0,102.0,4.32,"['Drama', 'Crime', 'Comedy']",['USA']
272,Destroy All Monsters,4.5,24598,1968.0,89.0,3.3,"['Science Fiction', 'Horror', 'Action']",['Japan']
272,Dog Star Man: Part IV,3.5,25972,1964.0,6.0,3.58,[nan],['USA']
272,Duck Amuck,5.0,27257,1953.0,7.0,4.3,"['Comedy', 'Animation', 'Family']",['USA']
451,Fire of Love,5.0,31230,2022.0,93.0,4.07,['Documentary'],"['Canada', 'USA']"
451,Red Dot,2.0,68119,2021.0,86.0,2.54,"['Thriller', 'Horror']",['Sweden']
451,The Craft: Legacy,1.0,84101,2020.0,94.0,2.18,"['Drama', 'Fantasy', 'Horror']",['USA']
451,Spaceship Earth,3.0,76377,2020.0,115.0,3.18,['Documentary'],['USA']
451,Diego Maradona,3.0,25058,2019.0,130.0,3.92,['Documentary'],['UK']
451,Before We Vanish,3.0,12027,2017.0,129.0,3.42,"['Science Fiction', 'Drama', 'Thriller']","['Japan', 'UK']"
